document_id,framing_style,framing_tool,pipe,model
1_1,Implicit,Coded Language,context,qwen3:14b
1_2,Explicit,,context,qwen3:14b
1_3,Explicit,,context,qwen3:14b
1_4,Implicit,Coded Language,context,qwen3:14b
1_5,Implicit,Coded Language,context,qwen3:14b
1_6,Implicit,Coded Language,context,qwen3:14b
1_7,Explicit,,context,qwen3:14b
1_8,Implicit,Coded Language,context,qwen3:14b
1_9,Explicit,,context,qwen3:14b
1_10,Implicit,Coded Language,context,qwen3:14b
1_11,Explicit,,context,qwen3:14b
1_12,Explicit,,context,qwen3:14b
1_13,Implicit,Coded Language,context,qwen3:14b
1_14,Implicit,Coded Language,context,qwen3:14b
1_15,Implicit,Coded Language,context,qwen3:14b
1_16,Explicit,,context,qwen3:14b
1_17,Explicit,,context,qwen3:14b
1_18,Implicit,Coded Language,context,qwen3:14b
1_19,Implicit,Coded Language,context,qwen3:14b
1_20,Explicit,,context,qwen3:14b
1_21,Explicit,,context,qwen3:14b
1_22,Explicit,,context,qwen3:14b
1_23,Implicit,Coded Language,context,qwen3:14b
1_24,Explicit,,context,qwen3:14b
1_25,Explicit,,context,qwen3:14b
1_26,Implicit,Coded Language,context,qwen3:14b
1_27,Implicit,Coded Language,context,qwen3:14b
1_28,Implicit,Coded Language,context,qwen3:14b
1_29,Implicit,Coded Language,context,qwen3:14b
1_30,Implicit,Coded Language,context,qwen3:14b
1_31,Explicit,,context,qwen3:14b
1_32,Implicit,Coded Language,context,qwen3:14b
1_33,Explicit,,context,qwen3:14b
1_34,Implicit,Coded Language,context,qwen3:14b
1_35,Explicit,,context,qwen3:14b
1_36,Implicit,Coded Language,context,qwen3:14b
1_37,Explicit,,context,qwen3:14b
1_38,Implicit,Coded Language,context,qwen3:14b
1_39,Explicit,,context,qwen3:14b
1_40,Implicit,Coded Language,context,qwen3:14b
1_41,Implicit,Coded Language,context,qwen3:14b
1_42,Implicit,Sarcasm,context,qwen3:14b
1_43,Explicit,,context,qwen3:14b
1_44,Implicit,Coded Language,context,qwen3:14b
1_45,Explicit,,context,qwen3:14b
1_46,Implicit,Coded Language,context,qwen3:14b
1_47,Implicit,Coded Language,context,qwen3:14b
1_48,Explicit,,context,qwen3:14b
1_50,Explicit,,context,qwen3:14b
1_51,Implicit,"Metaphor,Coded Language",context,qwen3:14b
1_52,Implicit,"Sarcasm,Irony,Coded Language",context,qwen3:14b
1_53,Explicit,,context,qwen3:14b
1_54,Implicit,"Sarcasm,Irony,Coded Language",context,qwen3:14b
1_55,Implicit,Metaphor,context,qwen3:14b
1_56,Implicit,Coded Language,context,qwen3:14b
1_57,Explicit,,context,qwen3:14b
1_58,Explicit,,context,qwen3:14b
1_59,Implicit,"Sarcasm,Irony",context,qwen3:14b
1_60,Explicit,,context,qwen3:14b
1_61,Implicit,Sarcasm,context,qwen3:14b
1_62,Implicit,Coded Language,context,qwen3:14b
1_63,Implicit,"Sarcasm,Irony",context,qwen3:14b
1_64,Explicit,,context,qwen3:14b
1_65,Implicit,"Sarcasm,Irony,Metaphor,Coded Language",context,qwen3:14b
1_66,Explicit,,context,qwen3:14b
1_67,Implicit,"Metaphor,Coded Language",context,qwen3:14b
1_68,Explicit,,context,qwen3:14b
1_69,Implicit,"Metaphor,Coded Language",context,qwen3:14b
1_70,Implicit,"Sarcasm,Irony",context,qwen3:14b
