id,flags,content,video_num
1_1,[1],"It's because Europeans do not want to change their way of life and their customs and what makes them European.
The Muslims there do not want to assimilate properly into European societies and even call for Sharia law.
But it's ok....because Europe will soon rebel against them, just like in Spain and they will drive them out or they will be killed.
I forsee a big civil war in Europe in the future, because the Muslims will not leave quietly.
",1
1_2,[0],"ISLAM – A Simple, Humanitarian and Attractive Religion
WELCOME TO ISLAM..
AND PLEASE READ THE QURAN.
“Islam had the power of peacefully conquering souls by the simplicity of its theology, the clearness of its dogma and principles, and the definite number of the practices which it demands.
In contrast to Christianity which has been undergoing continual transformation since its origin, Islam has remained identical with itself.”
(Jean L’heureux, Etude sur L’Islamisme P.35)
",1
1_3,[0],"ISLAM has overtaken Roman Catholicism as the biggest single religious denomination in the world, according to new figures.
In its newly-released 2008 yearbook of statistics, the Vatican claims Muslims now make up 19.2 per cent of the world's population with Catholics at 17.4 per cent.(2012-MUSLIM 22.7%, CATHOLIC 18.8%)
In the Vatican newspaper, L'Osservatore Romano, Monsignor Vittorio Formenti, wrote: ""For the first time in history we are no longer at the top: the Muslims have overtaken us.""
",1
1_4,[1],"All it means is there will be more of you to kill.
",1
1_5,[0],"People should know when they are conquered ...
",1
1_6,[0],"Well, you guys came to our lands and colonized our lands and robbed us from our golds, oil and everything else, now is a pay back time.
Have you heard of ""pay back is bitch?"" or, ""what goes around comes around?"" or ""be aware of Karma,"" or ""You ain't see nothing yet."" or ""your behind is mine!?""
",1
1_7,[0],"Ever hear of the swiss minaret ban?
HEHE Anyways this video is 100% bs muslim birth rate is falling A LOT faster than western.
Countries like Turkey and Lebanon have below replacement fertility.
Don't think any of this will be able to happen anyway.
",1
1_8,[0],"Lol, ever heard about the Reconquest of Spain?
Read up about it.
",1
1_9,[0],"GOOGLE ""Surge in Britons converting to Islam:TELEGRAPH""
White women lead a wave of Britons embracing Islam, with a 50 per cent rise in converts living in this country in a decade according to a new report.
ALSO ""WHY ARE SO MANY MODERN BRITISH CAREER WOMEN CONVERTING TO ISLAM:DAILYMAIL"".
ALSO ""GERMAN PRIEST BURNS HIMSELF TO PROTEST THE SPREAD OF ISLAM"".
",1
1_10,[0],"I laughed when they said that muslims family have 8.1 children xD the reality is more like 2-3..
",1
1_11,[0],"I'm european and I agree.
",1
1_12,[0],"ISLAM – A Simple, Humanitarian and Attractive Religion
WELCOME TO ISLAM..
AND PLEASE READ THE QURAN.
“Islam had the power of peacefully conquering souls by the simplicity of its theology, the clearness of its dogma and principles, and the definite number of the practices which it demands.
In contrast to Christianity which has been undergoing continual transformation since its origin, Islam has remained identical with itself.”
(Jean L’heureux, Etude sur L’Islamisme P.35)
",1
1_13,[1],"I just hope when multiculturalism proves to be a real fail the plug will be pulled everywhere, if not then time to kill your government.
",1
1_14,[0],"YOU REPRESENT THE EVIL VOICE OF THE LOUD MINORITY.
THE SILENCE MAJORITY IS WITH ISLAM, THE PEACEFULL AND TOLERANCE RELIGION.
LOOK AT GEERT WILDER, EUROPE MOST OUT SPOKEN ANTI ISLAM, ANTI IMMIGRANT POLITICIAN LOST THE ELECTION, REJECTED BY HIS OWN PEOPLE..???!!!
",1
1_15,[0],"You do realize muslims have been kicked out before?
History repeats itself.
Also why don't you go walk through Russia or Eastern Europe late at night.
",1
1_16,[0],"ISLAM has overtaken Roman Catholicism as the biggest single religious denomination in the world, according to new figures.
In its newly-released 2008 yearbook of statistics, the Vatican claims Muslims now make up 19.2 per cent of the world's population with Catholics at 17.4 per cent.(2012-MUSLIM 22.7%, CATHOLIC 18.85%)
In the Vatican newspaper, L'Osservatore Romano, Monsignor Vittorio Formenti, wrote: ""For the first time in history we are no longer at the top: the Muslims have overtaken us.""
",1
1_17,[0],"ANOTHER BRAINWASHED IDIOT...
PLEASE SHOW SOME PROOF THAT ""THEY RESPONSIBLE FOR 100% RAPES IN NORWAY "".
AND MAKE SURE THEY ARE FROM RELIABLE SOURCES...
",1
1_18,[0],"HE WHO ASSERTS MUST PROVE!
I CAN POST LIE SAYING THAT ALL RAPES IN ASIA ARE COMMITTED BY EUROPEANS..
AND MAKE YOU BUSY LOOKING FOR THE CLUES IN INTERNET.
SO, PLEASE BE EDUCATED AND HONEST TO TALK WITH SOME PROOF/REF TO BACK YOUR CLAIM.
",1
1_19,[0],"Well Norway's media is not controlled by the fucking left wings.
So I think thats enough confirmation.
If you want extra proof you would have to learn Norwegian.
",1
1_20,[0],"“The statistics tell us that the safest place for women is outside, on the street — most rapes happen at home,” said Tove Smaadahl, general manager of the Shelter Movement.
GOOGLE ""In Norway, Gender Equality Does Not Extend to the Bedroom:NEW YORK TIMES""
",1
1_21,[0],"“The statistics tell us that the safest place for women is outside, on the street — most rapes happen at home,” said Tove Smaadahl, general manager of the Shelter Movement.
In a 2005 survey by the Norwegian Institute for Urban and Regional Research, 9 percent of female respondents in a relationship reported experiencing sexual assault.
",1
1_22,[0],"TO THOSE WHO IS INTERESTED IN THE TRUTH PLEASE GOOGLE
""In Norway, Gender Equality Does Not Extend to the Bedroom:NEW YORK TIMES""
By KATRIN BENNHOLD
Published: October 24, 2011.
ALSO ""Gil Ronen’s Fabricated Statistics About Oslo Rapists Being All Muslim""
Posted on December 23, 2011 by Dorado
",1
1_23,[0],"here you go sir: watch?v=YiVVvJIM5UI
",1
1_24,[0],"NOT ANOTHER YT VIDEO.
ANYBODY CAN MAKE ANY VIDEO, PUT ANY TITLE AND UPLOAD TO YT.
WHO IS THERE TO VERIFY THE AUTHENTICITY...???
PLEASE BE EDUCATED TO QUOTE SOMETHING FROM RELIABLE SOURCES SUCH AS INTERNATIONAL NEWS AGENCY, REPUTABLE NEWSPAPER....
",1
1_25,[1],"Death to Islam!
Death to Islam!
The reason why I do not like Islam is because I keep hearing you Muslims raping young girls, terrorizing young women for being out late, and sexually trafficking children!
England, France, Germany, Norway, Sweden and other places are in terrible pain because of your people!
A woeful, difficult, and evil people!
THE QURAN CAN GO BURN ITSELF IN HELL!
Muhammed is a gay tranny!
Get the hell out of America, Mussie, because we ain't taking kindly to Islam here!
",1
1_26,[0],"PLEASE BE HONEST, AT LEAST TO YOURSELF, TO READ (HEAR) FROM RIGHT SOURCES.
BE EDUCATED AND DONT LET CONTROLLED MEDIA TO BRAINWASHED YOU.
MILLIONS OF AMERICANS CONVERTED TO ISLAM...
AND WHAT DO YOU MEAN BY ""Get the hell out of America,...""
",1
1_27,[0],"I have heard from VARIOUS sources, as in more than one news outlet.
Do you know what I found?
They all matched up.
They have reported on many things.
I have found far more than just the traditional news outlets (whom blacklist the truth) detailing how Islam is hurting Europe!
I have been educated.
I can tell you just how educated I am.
When I found something online, I found this watch?v=1YnnyXNItqk You tell me if this is NOT an attack on a Christian girl out in broad daylight!
",1
1_28,[0],"The girl who was being attacked by Muslims was NOT wearing a burqas!
She was wearing clothes that typically resemble Christians!
The attack upon her was pretty violent.
One vile Muslim calling out nasara, attracting more men.
Then if you listen carefully, they are saying Allakhu ackbar!
The rape wasn't recorded because the cameraman was pushed out.
She was raped that day, 3 days ago out in broad daylight!
If it was fake, I would've known.
But it wasn't!
Use your EYES!
",1
1_29,[0],"MAY I REPEAT AGAIN...
ONLY IDIOTS BELIEVE IN YT VIDEOS.
WHY ARE YOU SO CHEAP AND DESPERATE...???
",1
1_30,[0],"I am not cheap or desperate.
I have observed that video multiple times!
I have paid attention to the environment.
The attack was vicious!
It wasn't fake because if it was, they would ALL be laughing but it wasn't!
YouTube videos have leaked out that were true and suppressed by governments, police, and anyone who does NOT want the truth to get out!
Why are you so ignorant of the truth?
Why can't you use your eyes to realize that Islam is false?
",1
1_31,[0],"It even mentions slicing the fingertips, beheading people, and Muslim women are given certain penalties while non-Muslim women who are held captive can be forced, raped, abused, violated many times and in any manner as Muslim men favor because Allah is wise, all so merciful.
My God is more merciful, more kind because He does not condone rape of any kind, teaches us to love our enemies (even though it is hard), and does not tell us to endorse extermination, raping captives, etc.
",1
1_32,[0],"Many Americans converting to Islam despite (Jewish fostered ...
h t t p://theuglytruth.wordpress.
28 Feb 2012 ...
Many Americans converting to Islam despite (Jewish fostered) ...
world has got so used to see white women having sex like ...
",1
1_33,[0],"Women and Conversion to Islam: The American Women's ...
h t t p://w w w.academia.
edu/300375/Women_and_Conversio­n_to_Islam...
Women's conversion to Islam in America has attracted the attention of many ...
, while Islam has become a controversial topic in the West, a growing number of ...
",1
1_34,[0],"and u guys saying to leave usa , first u amricans stop killing our people , stop raping our women stops pointing our culture , and let me tell you one thing we muslims really don't harm other its those people who don't want peace , n just do a one thing just read a quran once only as a book then you will know the difference :)
",1
