document_id,framing_style,framing_tool,pipe,model
1_1,Implicit,Sarcasm,context,mistral
1_2,Implicit,Metaphor,context,mistral
1_3,Explicit,,context,mistral
1_4,Implicit,Sarcasm,context,mistral
1_5,Implicit,Metaphor,context,mistral
1_6,Implicit,Irony,context,mistral
1_7,Implicit,Irony,context,mistral
1_8,Implicit,Historical Metaphor,context,mistral
1_9,Implicit,Coded Language,context,mistral
1_10,Implicit,Irony,context,mistral
1_11,Explicit,,context,mistral
1_12,Implicit,Metaphor,context,mistral
1_13,Implicit,Threat,context,mistral
1_14,Implicit,Sarcasm,context,mistral
1_15,Implicit,Irony,context,mistral
1_16,Explicit,,context,mistral
1_17,Implicit,Irony,context,mistral
1_18,Implicit,Irony,context,mistral
1_19,Explicit,,context,mistral
1_20,Explicit,,context,mistral
1_21,Explicit,,context,mistral
1_22,Explicit,,context,mistral
1_23,Implicit,Coded Language,context,mistral
1_24,Implicit,Sarcasm,context,mistral
1_25,Implicit,Sarcasm,context,mistral
1_26,Implicit,Irony,context,mistral
1_27,Implicit,Irony,context,mistral
1_28,Implicit,Sarcasm,context,mistral
1_29,Implicit,Irony,context,mistral
1_30,Implicit,Irony,context,mistral
1_31,Implicit,Irony,context,mistral
1_32,Implicit,Coded Language,context,mistral
1_33,Explicit,,context,mistral
1_34,Implicit,"Sarcasm, Metaphor",context,mistral
1_35,Implicit,Irony,context,mistral
1_36,Implicit,Coded Language,context,mistral
1_37,Implicit,Coded Language,context,mistral
1_38,Implicit,Coded Language,context,mistral
1_39,Implicit,Coded Language,context,mistral
1_40,Implicit,Irony,context,mistral
1_41,Implicit,Coded Language,context,mistral
1_42,Implicit,Sarcasm,context,mistral
1_43,Implicit,Metaphor,context,mistral
1_44,Implicit,Irony,context,mistral
1_45,Implicit,"Sarcasm, Metaphor",context,mistral
1_46,Implicit,Sarcasm,context,mistral
1_47,Implicit,Irony,context,mistral
1_48,Implicit,"Irony, Metaphor",context,mistral
1_50,Implicit,"Irony, Sarcasm",context,mistral
1_51,Implicit,Coded Language,context,mistral
1_52,Implicit,Irony,context,mistral
1_53,Explicit,,context,mistral
1_54,Implicit,Irony,context,mistral
1_55,Explicit,,context,mistral
1_56,Implicit,Metaphor,context,mistral
1_57,Implicit,Irony,context,mistral
1_58,Implicit,Irony,context,mistral
1_59,Implicit,Irony,context,mistral
1_60,Implicit,Irony,context,mistral
1_61,Implicit,Irony,context,mistral
1_62,Implicit,Sarcasm,context,mistral
1_63,Explicit,,context,mistral
1_64,Implicit,Coded Language,context,mistral
1_65,Implicit,"Irony, Metaphor",context,mistral
1_66,Implicit,Sarcasm,context,mistral
1_67,Implicit,Irony,context,mistral
1_68,Implicit,Irony,context,mistral
1_69,Implicit,"Metaphor, Coded Language",context,mistral
1_70,Implicit,Sarcasm,context,mistral
1_71,Implicit,Irony,context,mistral
1_72,Explicit,,context,mistral
1_73,Implicit,Coded Language,context,mistral
1_74,Implicit,"Aggression, Insult",context,mistral
1_75,Implicit,Coded Language,context,mistral
1_76,Implicit,Sarcasm,context,mistral
1_77,Implicit,Hyperbole,context,mistral
1_78,Implicit,"Metaphor, Coded Language",context,mistral
1_79,Implicit,"Threat, Sarcasm",context,mistral
1_80,Implicit,Hyperbole,context,mistral
1_81,Implicit,Irony,context,mistral
1_82,Implicit,Irony,context,mistral
1_83,Implicit,Metaphor,context,mistral
1_84,Implicit,Coded Language,context,mistral
1_85,Implicit,Irony,context,mistral
1_86,Explicit,,context,mistral
1_87,Explicit,,context,mistral
1_88,Implicit,Sarcasm,context,mistral
1_89,Implicit,Irony,context,mistral
1_90,Implicit,Irony,context,mistral
1_91,Implicit,Metaphor,context,mistral
1_92,Implicit,"Irony, Sarcasm",context,mistral
1_93,Implicit,,context,mistral
1_94,Implicit,Sarcasm,context,mistral
1_95,Implicit,Coded Language,context,mistral
1_96,Implicit,Metaphor,context,mistral
1_98,Explicit,,context,mistral
1_99,Implicit,Coded Language,context,mistral
1_100,Implicit,Coded Language,context,mistral
1_101,Implicit,"Irony, Coded Language",context,mistral
1_102,Implicit,Coded Language,context,mistral
1_103,Implicit,Sarcasm,context,mistral
1_104,Implicit,Coded Language,context,mistral
1_105,Implicit,Coded Language,context,mistral
1_106,Implicit,Coded Language,context,mistral
1_107,Implicit,Coded Language,context,mistral
1_108,Implicit,"Irony, Coded Language (possible reference to 9/11)",context,mistral
1_109,Implicit,Coded Language,context,mistral
1_110,Implicit,Coded Language,context,mistral
1_111,Implicit,Coded Language,context,mistral
1_112,Implicit,Coded Language,context,mistral
1_113,Implicit,Coded Language,context,mistral
1_114,Implicit,Coded Language,context,mistral
1_115,Implicit,Coded Language,context,mistral
1_116,Implicit,Irony,context,mistral
1_117,Implicit,Threat,context,mistral
1_118,Explicit,,context,mistral
1_119,Implicit,Coded Language,context,mistral
1_120,Explicit,,context,mistral
1_121,Implicit,Coded Language,context,mistral
1_122,Implicit,Coded Language,context,mistral
1_123,Implicit,Coded Language,context,mistral
1_124,Implicit,Sarcasm,context,mistral
1_125,Implicit,Coded Language,context,mistral
1_126,Implicit,Coded Language,context,mistral
1_127,Implicit,Coded Language,context,mistral
1_128,Implicit,Coded Language,context,mistral
1_129,Implicit,Coded Language,context,mistral
1_130,Implicit,Coded Language,context,mistral
1_131,Implicit,Coded Language,context,mistral
1_132,Implicit,Sarcasm,context,mistral
1_133,Implicit,Coded Language,context,mistral
1_134,Implicit,Coded Language,context,mistral
1_135,Implicit,Coded Language,context,mistral
1_136,Implicit,Irony,context,mistral
1_137,Implicit,Coded Language,context,mistral
1_138,Implicit,Coded Language,context,mistral
1_139,Implicit,Coded Language,context,mistral
1_140,Implicit,Coded Language,context,mistral
1_141,Implicit,Coded Language,context,mistral
1_142,Explicit,,context,mistral
1_143,Implicit,"Coded Language, Irony",context,mistral
1_144,Implicit,Coded Language,context,mistral
1_146,Implicit,Irony,context,mistral
1_147,Implicit,Sarcasm,context,mistral
1_148,Implicit,Hyperbole,context,mistral
1_149,Implicit,Irony,context,mistral
1_150,Implicit,Irony,context,mistral
1_151,Implicit,Irony,context,mistral
1_152,Implicit,"Sarcasm, Irony",context,mistral
1_153,Implicit,"Sarcasm, Coded Language",context,mistral
1_154,Explicit,,context,mistral
1_155,Explicit,,context,mistral
1_156,Explicit,,context,mistral
1_157,Implicit,Indirect Questioning,context,mistral
1_158,Implicit,Coded Language,context,mistral
1_159,Implicit,"Irony, Coded Language",context,mistral
1_160,Implicit,Coded Language,context,mistral
1_161,Explicit,,context,mistral
