document_id,violence_label,framing_style,framing_tool_clean,true_label,pipe,model,content
18_9549,0.0,Implicit,['sarcasm'],0.0,agents,gemma_12b,"I'm sure this video has significant relevance but we do have to consider what whites have done in the past as well...
raping and urbanizing America for example.
Don't get me wrong, I'm no ska punk antifa douche, just saying you have to think fairly.
"
17_7999,0.0,Implicit,['coded language'],0.0,agents,gemma_12b,"Europe will not surive ""Multiculturalism""!
Watch and learn watch?v=icQBBmPho0U
"
15_6360,1.0,Implicit,['sarcasm'],0.0,agents,gemma_12b,"From your comment you made it obvious too me that im arguing with an neonazi idiot.
Then kill all Muslims if you think thats the answer ....
"
15_6784,1.0,Implicit,['sarcasm'],0.0,agents,gemma_12b,"""support human farming"" lol
Did you mean humane?
"
4_1647,0.0,Explicit,[],0.0,agents,gemma_12b,"@Commenter#5498 Ummm, yeah he said not to preach to the gentiles.
And yeah, everyone is equal, but that has NOTHING to do with this.
Jesus (Isa) was a man, not some deity in frame of reference for us to worship.
Flesh is created by God, God is not created.
Stop deluding yourself, this is the opposite of the old testament, which your religion claims to be apart of.
There is only One God, and no other deity, or anything else worth worship, and the prophet Jesus (Isa PBUH) is not God.
"
2_1105,0.0,Implicit,['sarcasm'],0.0,context,gemma_12b,"It is highly unlikely,indeed,improbable that those former communist Serbian nationalist
where acting in the name of Christ?
Don't you think.
What we do know is that muslims in the name of the pedophile, goatfucker Allah, fly planes into buildings and stone innocent women and gays.These we all know
Islam is shit!
"
5_2155,0.0,Implicit,['sarcasm'],0.0,context,gemma_12b,"I said what you can and can't do - and that's shit!
If you would really want to do something about it, you would instead of talking shit here on YouTube.
And thanks for ending your statement with a disgusting remark - and for a fact, I'm a female, so I can't jack off.
"
18_9603,1.0,Implicit,['coded language'],1.0,context,gemma_12b,"NO MERCY FOR THESE ATHEISTS PEDOPHILES PIGS !
EXTERMINATE THESE VERMINES AND THROW THEM INTO A VOLCANO !
WHAT A NICE IDEA!
"
11_5553,0.0,Explicit,[],0.0,context,gemma_12b,"No puede gobernar basándose exclusivamente en sus convicciones religiosas, aún si efectivamente fuera un musulmán.
No porque sea mejor que cualquier otro, si no porque no tiene forma legal de hacerlo, separación de la iglesia y el estado les suena a algo?
No puede hacer leyes basadas en leyes religiosas, es anti-constitucional.
Así que todo este asunto de si el tipo es musulmán o no, es una estupidez.
"
17_7918,1.0,Implicit,['coded language'],1.0,context,gemma_12b,"Europe needs to start deporting non-Europeans, why are only white countries supposed to be multicultural, this is the plan of the Zionists to get rid of all gentiles﻿
"
