document_id,framing_style,framing_tool,pipe,model
1_1,Implicit,Sarcasm,neighbor,mistral
1_2,Explicit,,neighbor,mistral
1_3,Explicit,,neighbor,mistral
1_4,Implicit,Irony,neighbor,mistral
1_5,Implicit,Irony,neighbor,mistral
1_6,Implicit,"Threat, Revenge",neighbor,mistral
1_7,Implicit,Irony,neighbor,mistral
1_8,Implicit,Irony,neighbor,mistral
1_9,Explicit,,neighbor,mistral
1_10,Implicit,Sarcasm,neighbor,mistral
1_11,Explicit,,neighbor,mistral
1_12,Explicit,,neighbor,mistral
1_13,Implicit,Sarcasm,neighbor,mistral
1_14,Implicit,Sarcasm,neighbor,mistral
1_15,Implicit,Irony,neighbor,mistral
1_16,Explicit,,neighbor,mistral
1_17,Implicit,Sarcasm,neighbor,mistral
1_18,Implicit,Irony,neighbor,mistral
1_19,Implicit,Irony,neighbor,mistral
1_20,Explicit,,neighbor,mistral
1_21,Implicit,Irony,neighbor,mistral
1_22,Implicit,Coded Language,neighbor,mistral
1_23,Implicit,Irony,neighbor,mistral
1_24,Implicit,Sarcasm,neighbor,mistral
1_25,Implicit,Hate Speech,neighbor,mistral
1_26,Implicit,Irony,neighbor,mistral
1_27,Implicit,Irony,neighbor,mistral
1_28,Implicit,Sarcasm,neighbor,mistral
1_29,Implicit,Irony,neighbor,mistral
1_30,Explicit,,neighbor,mistral
1_31,Implicit,Irony,neighbor,mistral
1_32,Implicit,Coded Language,neighbor,mistral
1_33,Explicit,,neighbor,mistral
1_34,Implicit,Irony,neighbor,mistral
1_35,Implicit,Sarcasm,neighbor,mistral
1_36,Implicit,Coded Language,neighbor,mistral
1_37,Implicit,Sarcasm,neighbor,mistral
1_38,Implicit,Coded Language,neighbor,mistral
1_39,Implicit,Coded Language,neighbor,mistral
1_40,Implicit,Sarcasm,neighbor,mistral
1_41,Implicit,Sarcasm,neighbor,mistral
1_42,Implicit,Irony,neighbor,mistral
1_43,Implicit,Irony,neighbor,mistral
1_44,Implicit,Irony,neighbor,mistral
1_45,Implicit,Hate Speech (includes Racism and Violence),neighbor,mistral
1_46,Implicit,Irony,neighbor,mistral
