document_id,framing_style,framing_tool,pipe,model
1_1,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_2,Explicit,,agent,qwen3:14b
1_3,Explicit,,agent,qwen3:14b
1_4,Implicit,Metaphor,agent,qwen3:14b
1_5,Implicit,Metaphor,agent,qwen3:14b
1_6,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_7,Explicit,,agent,qwen3:14b
1_8,Implicit,Coded Language,agent,qwen3:14b
1_9,Explicit,,agent,qwen3:14b
1_10,Implicit,Sarcasm,agent,qwen3:14b
1_11,Explicit,,agent,qwen3:14b
1_12,Explicit,,agent,qwen3:14b
1_13,Implicit,Sarcasm,agent,qwen3:14b
1_14,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_15,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_16,Explicit,,agent,qwen3:14b
1_17,Explicit,,agent,qwen3:14b
1_18,Implicit,Sarcasm,agent,qwen3:14b
1_19,Explicit,,agent,qwen3:14b
1_20,Implicit,Irony,agent,qwen3:14b
1_21,Explicit,,agent,qwen3:14b
1_22,Explicit,,agent,qwen3:14b
1_23,Explicit,,agent,qwen3:14b
1_24,Explicit,,agent,qwen3:14b
1_25,Explicit,,agent,qwen3:14b
1_26,Explicit,,agent,qwen3:14b
1_27,Implicit,Coded Language,agent,qwen3:14b
1_28,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_29,Explicit,,agent,qwen3:14b
1_30,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_31,Explicit,,agent,qwen3:14b
1_32,Implicit,Coded Language,agent,qwen3:14b
1_33,Explicit,,agent,qwen3:14b
1_34,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_35,Explicit,,agent,qwen3:14b
1_36,Implicit,Coded Language,agent,qwen3:14b
1_37,Explicit,,agent,qwen3:14b
1_38,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_39,Explicit,,agent,qwen3:14b
1_40,Implicit,Sarcasm,agent,qwen3:14b
1_41,Implicit,Sarcasm,agent,qwen3:14b
1_42,Implicit,Sarcasm,agent,qwen3:14b
1_43,Explicit,,agent,qwen3:14b
1_44,Explicit,,agent,qwen3:14b
1_45,Explicit,,agent,qwen3:14b
1_46,Implicit,Sarcasm,agent,qwen3:14b
1_47,Explicit,,agent,qwen3:14b
1_48,Explicit,,agent,qwen3:14b
1_50,Explicit,,agent,qwen3:14b
1_51,Implicit,Sarcasm,agent,qwen3:14b
1_52,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_53,Explicit,,agent,qwen3:14b
1_54,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_55,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_56,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_57,Explicit,,agent,qwen3:14b
1_58,Explicit,,agent,qwen3:14b
1_59,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_60,Explicit,,agent,qwen3:14b
1_61,Implicit,Sarcasm,agent,qwen3:14b
1_62,Explicit,,agent,qwen3:14b
1_63,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_64,Explicit,,agent,qwen3:14b
1_65,Explicit,,agent,qwen3:14b
1_66,Explicit,,agent,qwen3:14b
1_67,Implicit,Metaphor,agent,qwen3:14b
1_68,Explicit,,agent,qwen3:14b
1_69,Explicit,,agent,qwen3:14b
1_70,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_71,Explicit,,agent,qwen3:14b
1_72,Explicit,,agent,qwen3:14b
1_73,Explicit,,agent,qwen3:14b
1_74,Explicit,,agent,qwen3:14b
1_75,Implicit,Coded Language,agent,qwen3:14b
1_76,Explicit,,agent,qwen3:14b
1_77,Implicit,Sarcasm,agent,qwen3:14b
1_78,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_79,Explicit,,agent,qwen3:14b
1_80,Explicit,,agent,qwen3:14b
1_81,Implicit,Sarcasm,agent,qwen3:14b
1_82,Implicit,Metaphor,agent,qwen3:14b
1_83,Explicit,,agent,qwen3:14b
1_84,Implicit,Coded Language,agent,qwen3:14b
1_85,Explicit,,agent,qwen3:14b
1_86,Explicit,,agent,qwen3:14b
1_87,Explicit,,agent,qwen3:14b
1_88,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_89,Implicit,Irony,agent,qwen3:14b
1_90,Explicit,,agent,qwen3:14b
1_91,Explicit,,agent,qwen3:14b
1_92,Explicit,,agent,qwen3:14b
1_93,Explicit,,agent,qwen3:14b
1_94,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_95,Explicit,,agent,qwen3:14b
1_96,Implicit,Metaphor,agent,qwen3:14b
1_98,Explicit,,agent,qwen3:14b
1_99,Explicit,,agent,qwen3:14b
1_100,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_101,Explicit,,agent,qwen3:14b
1_102,Implicit,Coded Language,agent,qwen3:14b
1_103,Explicit,,agent,qwen3:14b
1_104,Implicit,Sarcasm,agent,qwen3:14b
1_105,Implicit,Sarcasm,agent,qwen3:14b
1_106,Explicit,,agent,qwen3:14b
1_107,Explicit,,agent,qwen3:14b
1_108,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_109,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_110,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_111,Implicit,Metaphor,agent,qwen3:14b
1_112,Implicit,"Sarcasm,Irony,Insult,Coded Language",agent,qwen3:14b
1_113,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_114,Implicit,Metaphor,agent,qwen3:14b
1_115,Implicit,Sarcasm,agent,qwen3:14b
1_116,Implicit,Irony,agent,qwen3:14b
1_117,Implicit,Threat,agent,qwen3:14b
1_118,Implicit,Coded Language,agent,qwen3:14b
1_119,Explicit,,agent,qwen3:14b
1_120,Explicit,,agent,qwen3:14b
1_121,Implicit,Coded Language,agent,qwen3:14b
1_122,Explicit,,agent,qwen3:14b
1_123,Implicit,Coded Language,agent,qwen3:14b
1_124,Implicit,Sarcasm,agent,qwen3:14b
1_125,Explicit,,agent,qwen3:14b
1_126,Implicit,Coded Language,agent,qwen3:14b
1_127,Explicit,,agent,qwen3:14b
1_128,Implicit,Coded Language,agent,qwen3:14b
1_129,Implicit,Sarcasm,agent,qwen3:14b
1_130,Explicit,,agent,qwen3:14b
1_131,Explicit,,agent,qwen3:14b
1_132,Explicit,,agent,qwen3:14b
1_133,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_134,Explicit,,agent,qwen3:14b
1_135,Implicit,Coded Language,agent,qwen3:14b
1_136,Explicit,,agent,qwen3:14b
1_137,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_138,Explicit,,agent,qwen3:14b
1_139,Explicit,,agent,qwen3:14b
1_140,Explicit,,agent,qwen3:14b
1_141,Implicit,Sarcasm,agent,qwen3:14b
1_142,Implicit,Irony,agent,qwen3:14b
1_143,Explicit,,agent,qwen3:14b
1_144,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_146,Explicit,,agent,qwen3:14b
1_147,Implicit,Sarcasm,agent,qwen3:14b
1_148,Explicit,,agent,qwen3:14b
1_149,Explicit,,agent,qwen3:14b
1_150,Explicit,,agent,qwen3:14b
1_151,Explicit,,agent,qwen3:14b
1_152,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_153,Explicit,,agent,qwen3:14b
1_154,Explicit,,agent,qwen3:14b
1_155,Explicit,,agent,qwen3:14b
1_156,Explicit,,agent,qwen3:14b
1_157,Explicit,,agent,qwen3:14b
1_158,Implicit,Metaphor,agent,qwen3:14b
1_159,Explicit,,agent,qwen3:14b
1_160,Implicit,Coded Language,agent,qwen3:14b
1_161,Explicit,,agent,qwen3:14b
1_162,Explicit,,agent,qwen3:14b
1_163,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_164,Explicit,,agent,qwen3:14b
1_165,Implicit,Sarcasm,agent,qwen3:14b
1_166,Implicit,"Sarcasm,Irony,Coded Language,Metaphor",agent,qwen3:14b
1_167,Implicit,Metaphor,agent,qwen3:14b
1_168,Explicit,,agent,qwen3:14b
1_169,Explicit,,agent,qwen3:14b
1_170,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_171,Implicit,Sarcasm,agent,qwen3:14b
1_172,Implicit,Coded Language,agent,qwen3:14b
1_173,Implicit,Metaphor,agent,qwen3:14b
1_174,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_175,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_176,Explicit,,agent,qwen3:14b
1_177,Implicit,Sarcasm,agent,qwen3:14b
1_178,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_179,Explicit,,agent,qwen3:14b
1_180,Explicit,,agent,qwen3:14b
1_181,Implicit,Metaphor,agent,qwen3:14b
1_182,Explicit,,agent,qwen3:14b
1_183,Explicit,,agent,qwen3:14b
1_184,Explicit,,agent,qwen3:14b
1_185,Implicit,Metaphor,agent,qwen3:14b
1_186,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_187,Implicit,Metaphor,agent,qwen3:14b
1_188,Explicit,,agent,qwen3:14b
1_189,Explicit,,agent,qwen3:14b
1_190,Explicit,,agent,qwen3:14b
1_191,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_192,Explicit,,agent,qwen3:14b
1_194,Explicit,,agent,qwen3:14b
1_195,Explicit,,agent,qwen3:14b
1_196,Explicit,,agent,qwen3:14b
1_197,Explicit,,agent,qwen3:14b
1_198,Implicit,Sarcasm,agent,qwen3:14b
1_199,Implicit,Coded Language,agent,qwen3:14b
1_200,Implicit,Metaphor,agent,qwen3:14b
1_201,Implicit,Metaphor,agent,qwen3:14b
1_202,Explicit,,agent,qwen3:14b
1_203,Implicit,Coded Language,agent,qwen3:14b
1_204,Explicit,,agent,qwen3:14b
1_205,Explicit,,agent,qwen3:14b
1_206,Explicit,,agent,qwen3:14b
1_207,Implicit,Metaphor,agent,qwen3:14b
1_208,Explicit,,agent,qwen3:14b
1_209,Explicit,,agent,qwen3:14b
1_210,Implicit,Sarcasm,agent,qwen3:14b
1_211,Explicit,,agent,qwen3:14b
1_212,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_213,Explicit,,agent,qwen3:14b
1_214,Implicit,Sarcasm,agent,qwen3:14b
1_215,Implicit,Sarcasm,agent,qwen3:14b
1_216,Explicit,,agent,qwen3:14b
1_217,Explicit,,agent,qwen3:14b
1_218,Implicit,Coded Language,agent,qwen3:14b
1_219,Explicit,,agent,qwen3:14b
1_220,Explicit,,agent,qwen3:14b
1_221,Explicit,,agent,qwen3:14b
1_222,Explicit,,agent,qwen3:14b
1_223,Implicit,Sarcasm,agent,qwen3:14b
1_224,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_225,Explicit,,agent,qwen3:14b
1_226,Implicit,Sarcasm,agent,qwen3:14b
1_227,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_228,Explicit,,agent,qwen3:14b
1_229,Explicit,,agent,qwen3:14b
1_230,Implicit,Metaphor,agent,qwen3:14b
1_231,Explicit,,agent,qwen3:14b
1_232,Explicit,,agent,qwen3:14b
1_233,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_234,Explicit,,agent,qwen3:14b
1_235,Explicit,,agent,qwen3:14b
1_236,Implicit,Metaphor,agent,qwen3:14b
1_237,Implicit,Sarcasm,agent,qwen3:14b
1_238,Implicit,Sarcasm,agent,qwen3:14b
1_239,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_241,Explicit,,agent,qwen3:14b
1_242,Explicit,,agent,qwen3:14b
1_243,Implicit,Sarcasm,agent,qwen3:14b
1_244,Explicit,,agent,qwen3:14b
1_245,Implicit,Sarcasm,agent,qwen3:14b
1_246,Explicit,,agent,qwen3:14b
1_247,Explicit,,agent,qwen3:14b
1_248,Implicit,"Threats,Coded Language",agent,qwen3:14b
1_249,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_250,Implicit,Metaphor,agent,qwen3:14b
1_251,Implicit,Metaphor,agent,qwen3:14b
1_252,Explicit,,agent,qwen3:14b
1_253,Implicit,Coded Language,agent,qwen3:14b
1_254,Explicit,,agent,qwen3:14b
1_255,Explicit,,agent,qwen3:14b
1_256,Explicit,,agent,qwen3:14b
1_257,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_258,Explicit,,agent,qwen3:14b
1_259,Implicit,Sarcasm,agent,qwen3:14b
1_260,Explicit,,agent,qwen3:14b
1_261,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_262,Implicit,Sarcasm,agent,qwen3:14b
1_263,Explicit,,agent,qwen3:14b
1_264,Explicit,,agent,qwen3:14b
1_265,Explicit,,agent,qwen3:14b
1_266,Explicit,,agent,qwen3:14b
1_267,Explicit,,agent,qwen3:14b
1_268,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_269,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_270,Explicit,,agent,qwen3:14b
1_271,Implicit,Sarcasm,agent,qwen3:14b
1_272,Implicit,Sarcasm,agent,qwen3:14b
1_273,Implicit,Metaphor,agent,qwen3:14b
1_274,Explicit,,agent,qwen3:14b
1_275,Implicit,Coded Language,agent,qwen3:14b
1_276,Explicit,,agent,qwen3:14b
1_277,Implicit,Coded Language,agent,qwen3:14b
1_278,Explicit,,agent,qwen3:14b
1_279,Explicit,,agent,qwen3:14b
1_280,Explicit,,agent,qwen3:14b
1_281,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
1_282,Implicit,Sarcasm,agent,qwen3:14b
1_283,Explicit,,agent,qwen3:14b
1_284,Implicit,Coded Language,agent,qwen3:14b
1_285,Explicit,,agent,qwen3:14b
1_286,Implicit,"Sarcasm, Coded Language",agent,qwen3:14b
1_288,Explicit,,agent,qwen3:14b
1_289,Explicit,,agent,qwen3:14b
1_290,Explicit,,agent,qwen3:14b
1_291,Implicit,Coded Language,agent,qwen3:14b
1_292,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_293,Explicit,,agent,qwen3:14b
1_294,Explicit,,agent,qwen3:14b
1_295,Explicit,,agent,qwen3:14b
1_296,Explicit,,agent,qwen3:14b
1_297,Explicit,,agent,qwen3:14b
1_298,Explicit,,agent,qwen3:14b
1_299,Explicit,,agent,qwen3:14b
1_300,Explicit,,agent,qwen3:14b
1_301,Explicit,,agent,qwen3:14b
1_302,Explicit,,agent,qwen3:14b
1_303,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_304,Explicit,,agent,qwen3:14b
1_305,Implicit,Coded Language,agent,qwen3:14b
1_306,Implicit,Metaphor,agent,qwen3:14b
1_307,Explicit,,agent,qwen3:14b
1_308,Explicit,,agent,qwen3:14b
1_309,Explicit,,agent,qwen3:14b
1_310,Explicit,,agent,qwen3:14b
1_311,Implicit,Sarcasm,agent,qwen3:14b
1_312,Implicit,Coded Language,agent,qwen3:14b
1_313,Explicit,,agent,qwen3:14b
1_314,Implicit,Metaphor,agent,qwen3:14b
1_315,Explicit,,agent,qwen3:14b
1_316,Explicit,,agent,qwen3:14b
1_317,Explicit,,agent,qwen3:14b
1_318,Implicit,Metaphor,agent,qwen3:14b
1_319,Explicit,,agent,qwen3:14b
1_320,Implicit,Sarcasm,agent,qwen3:14b
1_321,Explicit,,agent,qwen3:14b
1_322,Implicit,Coded Language,agent,qwen3:14b
1_323,Explicit,,agent,qwen3:14b
1_324,Implicit,"Racism,Coded Language",agent,qwen3:14b
1_325,Explicit,,agent,qwen3:14b
1_326,Explicit,,agent,qwen3:14b
1_327,Explicit,,agent,qwen3:14b
1_328,Implicit,"Sarcasm,Irony,Mockery,Coded Language",agent,qwen3:14b
1_329,Implicit,"Sarcasm, Coded Language",agent,qwen3:14b
1_330,Explicit,,agent,qwen3:14b
1_331,Explicit,,agent,qwen3:14b
1_332,Implicit,Metaphor,agent,qwen3:14b
1_333,Explicit,,agent,qwen3:14b
1_335,Implicit,Coded Language,agent,qwen3:14b
1_336,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_337,Explicit,,agent,qwen3:14b
1_338,Implicit,Ambiguous,agent,qwen3:14b
1_339,Explicit,,agent,qwen3:14b
1_340,Implicit,Historical Reference,agent,qwen3:14b
1_341,Implicit,"Sarcasm, Coded Language",agent,qwen3:14b
1_342,Explicit,,agent,qwen3:14b
1_343,Explicit,,agent,qwen3:14b
1_344,Explicit,,agent,qwen3:14b
1_345,Explicit,,agent,qwen3:14b
1_346,Implicit,Coded Language,agent,qwen3:14b
1_347,Implicit,Coded Language,agent,qwen3:14b
1_348,Explicit,,agent,qwen3:14b
1_349,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_350,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_351,Explicit,,agent,qwen3:14b
1_352,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_353,Implicit,Coded Language,agent,qwen3:14b
1_354,Implicit,Coded Language,agent,qwen3:14b
1_355,Explicit,,agent,qwen3:14b
1_356,Explicit,,agent,qwen3:14b
1_357,Explicit,,agent,qwen3:14b
1_358,Explicit,,agent,qwen3:14b
1_359,Implicit,Sarcasm,agent,qwen3:14b
1_360,Implicit,Coded Language,agent,qwen3:14b
1_361,Implicit,Sarcasm,agent,qwen3:14b
1_362,Implicit,Sarcasm,agent,qwen3:14b
1_363,Implicit,Sarcasm,agent,qwen3:14b
1_364,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_365,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_366,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_367,Explicit,,agent,qwen3:14b
1_368,Explicit,,agent,qwen3:14b
1_369,Explicit,,agent,qwen3:14b
1_370,Implicit,Sarcasm,agent,qwen3:14b
1_371,Explicit,,agent,qwen3:14b
1_372,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_373,Explicit,,agent,qwen3:14b
1_374,Explicit,,agent,qwen3:14b
1_375,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_376,Explicit,,agent,qwen3:14b
1_377,Explicit,,agent,qwen3:14b
1_378,Explicit,,agent,qwen3:14b
1_379,Explicit,,agent,qwen3:14b
1_380,Explicit,,agent,qwen3:14b
1_382,Explicit,,agent,qwen3:14b
1_383,Explicit,,agent,qwen3:14b
1_384,Explicit,,agent,qwen3:14b
1_385,Implicit,Sarcasm,agent,qwen3:14b
1_386,Explicit,,agent,qwen3:14b
1_387,Implicit,"Metaphor,Coded Language,Irony",agent,qwen3:14b
1_388,Implicit,Sarcasm,agent,qwen3:14b
1_389,Explicit,,agent,qwen3:14b
1_390,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_391,Explicit,,agent,qwen3:14b
1_392,Explicit,,agent,qwen3:14b
1_393,Implicit,Metaphor,agent,qwen3:14b
1_394,Explicit,,agent,qwen3:14b
1_395,Explicit,,agent,qwen3:14b
1_396,Explicit,,agent,qwen3:14b
1_397,Explicit,,agent,qwen3:14b
1_398,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
1_399,Explicit,,agent,qwen3:14b
1_400,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_401,Explicit,,agent,qwen3:14b
1_402,Implicit,Sarcasm,agent,qwen3:14b
1_403,Explicit,,agent,qwen3:14b
1_404,Explicit,,agent,qwen3:14b
1_405,Explicit,,agent,qwen3:14b
1_406,Implicit,"Sarcasm,Irony",agent,qwen3:14b
1_407,Explicit,,agent,qwen3:14b
1_408,Explicit,,agent,qwen3:14b
1_409,Explicit,,agent,qwen3:14b
1_410,Explicit,,agent,qwen3:14b
1_411,Explicit,,agent,qwen3:14b
1_412,Explicit,,agent,qwen3:14b
1_413,Implicit,Irony,agent,qwen3:14b
1_414,Implicit,Sarcasm,agent,qwen3:14b
1_415,Explicit,,agent,qwen3:14b
1_416,Implicit,Sarcasm,agent,qwen3:14b
1_417,Implicit,Sarcasm,agent,qwen3:14b
1_418,Implicit,Sarcasm,agent,qwen3:14b
1_419,Implicit,Sarcasm,agent,qwen3:14b
1_420,Explicit,,agent,qwen3:14b
1_421,Explicit,,agent,qwen3:14b
1_422,Implicit,Metaphor,agent,qwen3:14b
1_423,Explicit,,agent,qwen3:14b
1_424,Explicit,,agent,qwen3:14b
1_425,Explicit,,agent,qwen3:14b
1_426,Implicit,Coded Language,agent,qwen3:14b
1_427,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_428,Explicit,,agent,qwen3:14b
2_429,Explicit,,agent,qwen3:14b
2_430,Implicit,"Sarcasm,Irony",agent,qwen3:14b
2_431,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
2_432,Explicit,,agent,qwen3:14b
2_433,Explicit,,agent,qwen3:14b
2_434,Explicit,,agent,qwen3:14b
2_435,Explicit,,agent,qwen3:14b
2_436,Explicit,,agent,qwen3:14b
2_437,Implicit,"Sarcasm,Irony",agent,qwen3:14b
2_438,Explicit,,agent,qwen3:14b
2_439,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
2_440,Implicit,"Sarcasm, Irony",agent,qwen3:14b
2_441,Implicit,Sarcasm,agent,qwen3:14b
2_442,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_443,Explicit,,agent,qwen3:14b
2_444,Explicit,,agent,qwen3:14b
2_445,Explicit,,agent,qwen3:14b
2_446,Explicit,,agent,qwen3:14b
2_447,Explicit,,agent,qwen3:14b
2_448,Explicit,,agent,qwen3:14b
2_449,Implicit,Sarcasm,agent,qwen3:14b
2_450,Implicit,"Sarcasm,Irony",agent,qwen3:14b
2_451,Explicit,,agent,qwen3:14b
2_452,Implicit,Sarcasm,agent,qwen3:14b
2_453,Explicit,,agent,qwen3:14b
2_454,Explicit,,agent,qwen3:14b
2_455,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_456,Explicit,,agent,qwen3:14b
2_457,Implicit,Sarcasm,agent,qwen3:14b
2_458,Explicit,,agent,qwen3:14b
2_459,Implicit,Coded Language,agent,qwen3:14b
2_460,Implicit,Coded Language,agent,qwen3:14b
2_461,Implicit,Coded Language,agent,qwen3:14b
2_462,Explicit,,agent,qwen3:14b
2_463,Explicit,,agent,qwen3:14b
2_464,Explicit,,agent,qwen3:14b
2_466,Explicit,,agent,qwen3:14b
2_467,Explicit,,agent,qwen3:14b
2_468,Explicit,,agent,qwen3:14b
2_469,Implicit,Metaphor,agent,qwen3:14b
2_470,Implicit,Sarcasm,agent,qwen3:14b
2_471,Explicit,,agent,qwen3:14b
2_472,Explicit,,agent,qwen3:14b
2_473,Implicit,Sarcasm,agent,qwen3:14b
2_474,Implicit,"Sarcasm, Coded Language",agent,qwen3:14b
2_475,Explicit,,agent,qwen3:14b
2_476,Explicit,,agent,qwen3:14b
2_477,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_478,Implicit,"Sarcasm, Coded Language",agent,qwen3:14b
2_479,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
2_480,Explicit,,agent,qwen3:14b
2_481,Explicit,,agent,qwen3:14b
2_482,Explicit,,agent,qwen3:14b
2_483,Explicit,,agent,qwen3:14b
2_484,Explicit,,agent,qwen3:14b
2_485,Implicit,"Metaphor, Coded Language",agent,qwen3:14b
2_486,Explicit,,agent,qwen3:14b
2_487,Explicit,,agent,qwen3:14b
2_488,Implicit,"Sarcasm,Irony",agent,qwen3:14b
2_489,Implicit,Coded Language,agent,qwen3:14b
2_490,Explicit,,agent,qwen3:14b
2_491,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_492,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_493,Implicit,Sarcasm,agent,qwen3:14b
2_494,Explicit,,agent,qwen3:14b
2_495,Implicit,Coded Language,agent,qwen3:14b
2_496,Explicit,,agent,qwen3:14b
2_497,Explicit,,agent,qwen3:14b
2_498,Explicit,,agent,qwen3:14b
2_499,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_500,Implicit,Metaphor,agent,qwen3:14b
2_501,Explicit,,agent,qwen3:14b
2_503,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_504,Explicit,,agent,qwen3:14b
2_505,Explicit,,agent,qwen3:14b
2_506,Explicit,,agent,qwen3:14b
2_507,Explicit,,agent,qwen3:14b
2_508,Explicit,,agent,qwen3:14b
2_509,Implicit,Metaphor,agent,qwen3:14b
2_510,Explicit,,agent,qwen3:14b
2_511,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
2_512,Explicit,,agent,qwen3:14b
2_513,Explicit,,agent,qwen3:14b
2_514,Explicit,,agent,qwen3:14b
2_515,Implicit,"Threats,Hyperbole",agent,qwen3:14b
2_516,Explicit,,agent,qwen3:14b
2_517,Explicit,,agent,qwen3:14b
2_518,Implicit,Insult,agent,qwen3:14b
2_519,Implicit,Metaphor,agent,qwen3:14b
2_520,Explicit,,agent,qwen3:14b
2_521,Explicit,,agent,qwen3:14b
2_522,Explicit,,agent,qwen3:14b
2_523,Explicit,,agent,qwen3:14b
2_524,Implicit,Sarcasm,agent,qwen3:14b
2_525,Explicit,,agent,qwen3:14b
2_526,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_527,Implicit,"Sarcasm,Irony,Coded Language",agent,qwen3:14b
2_528,Implicit,"Sarcasm,Irony",agent,qwen3:14b
2_529,Explicit,,agent,qwen3:14b
2_530,Explicit,,agent,qwen3:14b
2_531,Explicit,,agent,qwen3:14b
2_532,Explicit,,agent,qwen3:14b
2_533,Explicit,,agent,qwen3:14b
2_534,Implicit,Sarcasm,agent,qwen3:14b
2_535,Implicit,Sarcasm,agent,qwen3:14b
2_536,Explicit,,agent,qwen3:14b
2_537,Explicit,,agent,qwen3:14b
2_538,Implicit,Metaphor,agent,qwen3:14b
2_540,Implicit,Metaphor,agent,qwen3:14b
2_541,Explicit,,agent,qwen3:14b
2_542,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
2_543,Explicit,,agent,qwen3:14b
2_544,Explicit,,agent,qwen3:14b
2_545,Explicit,,agent,qwen3:14b
2_546,Implicit,Metaphor,agent,qwen3:14b
2_547,Implicit,"Metaphor,Coded Language",agent,qwen3:14b
2_548,Explicit,,agent,qwen3:14b
2_549,Implicit,Metaphor,agent,qwen3:14b
2_550,Explicit,,agent,qwen3:14b
2_551,Implicit,"Sarcasm,Irony",agent,qwen3:14b
2_552,Explicit,,agent,qwen3:14b
2_553,Explicit,,agent,qwen3:14b
2_554,Explicit,,agent,qwen3:14b
