document_id,framing_style,framing_tool,pipe,model
1_1,Implicit,Metaphor,neighbor,mistral-small
1_2,Implicit,Coded Language,neighbor,mistral-small
1_3,Explicit,,neighbor,mistral-small
1_4,Implicit,Sarcasm,neighbor,mistral-small
1_5,Implicit,Metaphor,neighbor,mistral-small
1_6,Implicit,"Metaphor, Coded Language and Irony.",neighbor,mistral-small
1_7,Implicit,`Sarcasm`,neighbor,mistral-small
1_8,Implicit,Coded Language,neighbor,mistral-small
1_9,Implicit,Coded Language,neighbor,mistral-small
1_10,Implicit,Sarcasm,neighbor,mistral-small
1_11,Implicit,Coded Language,neighbor,mistral-small
1_12,Explicit,,neighbor,mistral-small
1_13,Implicit,Sarcasm,neighbor,mistral-small
1_14,Implicit,Sarcasm,neighbor,mistral-small
1_15,Implicit,"Sarcasm, Coded Language",neighbor,mistral-small
1_16,Explicit,,neighbor,mistral-small
1_17,Implicit,Irony,neighbor,mistral-small
1_18,Implicit,Sarcasm,neighbor,mistral-small
1_19,Implicit,Sarcasm,neighbor,mistral-small
1_20,Implicit,Coded Language and Irony.,neighbor,mistral-small
1_21,Explicit,,neighbor,mistral-small
1_22,Implicit,Coded Language and Irony,neighbor,mistral-small
1_23,Implicit,Sarcasm,neighbor,mistral-small
1_24,Explicit,,neighbor,mistral-small
1_25,Explicit,,neighbor,mistral-small
1_26,Implicit,"Coded Language, Irony and Sarcasm.",neighbor,mistral-small
1_27,Implicit,Coded Language,neighbor,mistral-small
1_28,Explicit,,neighbor,mistral-small
1_29,Implicit,Irony,neighbor,mistral-small
1_30,Implicit,"Sarcasm, Irony",neighbor,mistral-small
1_31,Explicit,,neighbor,mistral-small
1_32,Implicit,Coded Language,neighbor,mistral-small
1_33,Explicit,,neighbor,mistral-small
1_34,Implicit,"Sarcasm, Coded Language",neighbor,mistral-small
1_35,Explicit,,neighbor,mistral-small
1_36,Implicit,Coded Language,neighbor,mistral-small
1_37,Implicit,Coded Language,neighbor,mistral-small
1_38,Implicit,Coded Language,neighbor,mistral-small
1_39,Implicit,Coded Language,neighbor,mistral-small
1_40,Implicit,Sarcasm,neighbor,mistral-small
1_41,Implicit,Sarcasm,neighbor,mistral-small
1_42,Implicit,Sarcasm,neighbor,mistral-small
1_43,Implicit,Sarcasm,neighbor,mistral-small
1_44,Implicit,Sarcasm,neighbor,mistral-small
1_45,Explicit,,neighbor,mistral-small
1_46,Implicit,`Sarcasm`,neighbor,mistral-small
1_47,Implicit,Sarcasm,neighbor,mistral-small
1_48,Implicit,Sarcasm,neighbor,mistral-small
1_50,Implicit,"Sarcasm, Irony",neighbor,mistral-small
1_51,Implicit,"Sarcasm, Metaphor",neighbor,mistral-small
1_52,Implicit,Coded Language,neighbor,mistral-small
1_53,Explicit,,neighbor,mistral-small
1_54,Implicit,`Sarcasm`,neighbor,mistral-small
1_55,Explicit,,neighbor,mistral-small
1_56,Implicit,Metaphor,neighbor,mistral-small
